Everest B-MOUNTAIN
is O
the O
highest O
mountain O
in O
the O
world O
. O

K2 B-MOUNTAIN
is O
another O
famous O
peak O
in O
the O
Karakoram B-MOUNTAIN
Range I-MOUNTAIN
. O

Mount B-MOUNTAIN
Kilimanjaro I-MOUNTAIN
is O
in O
Africa O
and O
is O
a O
dormant O
volcano O
. O

Denali B-MOUNTAIN
is O
the O
highest O
mountain O
in O
North O
America O
. O

Many O
people O
enjoy O
hiking O
in O
the O
Rocky B-MOUNTAIN
mountains I-MOUNTAIN
. O

I O
love O
traveling O
to O
new O
places O
,O
but O
I O
haven't O
been O
to O
any O
mountains O
yet O
. O

Have O
you O
heard O
of O
the O
Matterhorn B-MOUNTAIN
? O

Climbing O
the O
Alps B-MOUNTAIN
is O
a O
popular O
activity O
for O
adventurers O
. O

Not O
every O
mountain O
is O
famous O
,O
but O
they O
all O
have O
their O
unique O
beauty O
. O

The O
Grand B-MOUNTAIN
Teton I-MOUNTAIN
is O
located O
in O
Wyoming O
and O
is O
part O
of O
the O
Rocky B-MOUNTAIN
mountains I-MOUNTAIN
. O

I O
was O
reading O
a O
book O
about O
mountaineering O
,O
and O
it O
mentioned O
Mount B-MOUNTAIN
Elbrus I-MOUNTAIN
. O

Snowboarding O
in O
the O
Andes B-MOUNTAIN
sounds O
like O
a O
thrilling O
experience O
. O

My O
friend O
visited O
Switzerland O
last O
summer O
but O
did O
not O
go O
to O
any O
mountain O
regions O
. O

Kanchenjunga B-MOUNTAIN
is O
a O
sacred O
mountain O
in O
India O
and O
Nepal O
. O

Mount B-MOUNTAIN
Fuji I-MOUNTAIN
is O
not O
the O
tallest O
mountain O
in O
Japan O
,O
but O
it O
is O
the O
most O
iconic O
. O

The O
hikers O
lost O
their O
way O
in O
the O
forest O
and O
never O
made O
it O
to O
the O
summit O
. O

Mount B-MOUNTAIN
Everest I-MOUNTAIN
is O
the O
highest O
mountain O
in O
the O
world O
. O

I O
hiked O
up O
Mount B-MOUNTAIN
Fuji I-MOUNTAIN
last O
summer O
. O

The O
Andes B-MOUNTAIN
mountain I-MOUNTAIN
range I-MOUNTAIN
stretches O
across O
several O
countries O
. O

I O
dream O
of O
visiting O
Mount B-MOUNTAIN
Kilimanjaro I-MOUNTAIN
one O
day O
. O

Mount B-MOUNTAIN
Fuji I-MOUNTAIN
is O
a O
sacred O
mountain O
in O
Japan O
. O

The O
Rocky B-MOUNTAIN
mountains I-MOUNTAIN
are O
famous O
for O
their O
rugged O
peaks O
. O

We O
climbed O
Mount B-MOUNTAIN
Elbrus I-MOUNTAIN
last O
year O
. O

The O
Himalayas B-MOUNTAIN
are O
a O
vast O
mountain O
range O
in O
Asia O
. O

I O
want O
to O
visit O
Mount B-MOUNTAIN
Denali I-MOUNTAIN
in O
Alaska O
. O

The O
Alps B-MOUNTAIN
are O
known O
for O
their O
skiing O
resorts O
. O

Mount B-MOUNTAIN
Everest I-MOUNTAIN
stands O
at O
8,848 O
meters O
above O
sea O
level O
. O

I O
hiked O
up O
the O
rocky O
trail O
towards O
Mount B-MOUNTAIN
Fuji I-MOUNTAIN
. O

The O
Andes B-MOUNTAIN
are O
home O
to O
some O
of O
the O
world's O
highest O
peaks O
. O

We O
reached O
the O
summit O
of O
Mount B-MOUNTAIN
Denali I-MOUNTAIN
on O
a O
clear O
day O
. O

The O
Alps B-MOUNTAIN
are O
renowned O
for O
their O
majestic O
landscapes O
. O

Mount B-MOUNTAIN
Everest I-MOUNTAIN
has O
challenged O
climbers O
for O
decades O
. O

I O
hope O
to O
see O
the O
sunrise O
from O
Mount B-MOUNTAIN
Fuji I-MOUNTAIN
someday O
. O

The O
Himalayas B-MOUNTAIN
are O
home O
to O
some O
of O
the O
world's O
most O
challenging O
mountain
. O

Mount B-MOUNTAIN
Kilimanjaro I-MOUNTAIN
is O
a O
popular O
destination O
for O
trekkers O
. O

The O
Rocky B-MOUNTAIN
mountain
are O
famous O
for O
their O
wildlife O
and O
scenic O
views O
. O

I O
have O
always O
wanted O
to O
climb O
Mount B-MOUNTAIN
Everest I-MOUNTAIN
. O

The O
Andes B-MOUNTAIN
are O
a O
trekker's O
paradise O
. O

Mount B-MOUNTAIN
Fuji I-MOUNTAIN
is O
one O
of O
Japan's O
most O
famous O
landmarks O
. O

I O
can't O
wait O
to O
explore O
the O
Rocky B-MOUNTAIN
mountain
. O

We O
spent O
the O
night O
at O
the O
base O
camp O
of O
Mount B-MOUNTAIN
Kilimanjaro I-MOUNTAIN
. O

The O
Himalayas B-MOUNTAIN
are O
known O
for O
their O
spiritual O
significance O
. O

I O
have O
seen O
many O
pictures O
of O
Mount B-MOUNTAIN
Everest I-MOUNTAIN
. O

Mount B-MOUNTAIN
Elbrus I-MOUNTAIN
is O
the O
highest O
peak O
in O
Europe O
. O

We O
took O
a O
trip O
to O
the O
Alps B-MOUNTAIN
last O
winter O
. O

I O
dream O
of O
standing O
on O
the O
summit O
of O
Mount B-MOUNTAIN
Everest I-MOUNTAIN
. O

The O
Rocky B-MOUNTAIN
mountain
offer O
excellent O
hiking O
trails O
. O

Mount B-MOUNTAIN
Fuji I-MOUNTAIN
is O
a O
popular O
spot O
for O
photographers O
. O

I O
plan O
to O
trek O
Mount B-MOUNTAIN
Denali I-MOUNTAIN
next O
year O
. O

The O
Alps B-MOUNTAIN
are O
a O
favorite O
destination O
for O
skiers O
. O

We O
saw O
a O
beautiful O
sunset O
from O
the O
summit O
of O
Mount B-MOUNTAIN
Fuji I-MOUNTAIN
. O

Mount B-MOUNTAIN
Everest I-MOUNTAIN
is O
the O
ultimate O
goal O
for O
many O
mountaineers O
. O

The O
Himalayas B-MOUNTAIN
have O
some O
of O
the O
most O
breathtaking O
views O
. O

I O
hope O
to O
see O
the O
Northern O
Lights O
from O
Mount B-MOUNTAIN
Kilimanjaro I-MOUNTAIN
someday O
. O

We O
climbed O
Mount B-MOUNTAIN
Elbrus I-MOUNTAIN
during O
the O
summer O
. O

The O
Andes B-MOUNTAIN
stretch O
across O
multiple O
countries O
. O

The O
Alps B-MOUNTAIN
are O
a O
great O
place O
to O
explore O
on O
foot O
. O

We O
had O
a O
fantastic O
time O
on O
our O
trip O
to O
Mount B-MOUNTAIN
Fuji I-MOUNTAIN
. O

The O
Rocky B-MOUNTAIN
mountains I-MOUNTAIN
are O
home O
to O
many O
wild O
animals O
. O

We O
hiked O
up O
the O
trail O
on O
Mount B-MOUNTAIN
Denali I-MOUNTAIN
. O

The O
Himalayas B-MOUNTAIN
are O
the O
source O
of O
many O
major O
rivers O
. O

I O
love O
seeing O
the O
snow-capped O
peaks O
of O
Mount B-MOUNTAIN
Everest I-MOUNTAIN
. O

We O
reached O
the O
summit O
of O
Mount B-MOUNTAIN
Elbrus I-MOUNTAIN
after O
a O
long O
day O
of O
climbing O
. O

The O
Andes B-MOUNTAIN
are O
the O
backbone O
of O
South O
America O
. O

The O
Andes B-MOUNTAIN
are O
a O
great O
range O
to O
explore O
. O

We O
trekked O
to O
the O
summit O
of O
Mount B-MOUNTAIN
Everest I-MOUNTAIN
last O
spring O
. O

John O
loves O
watching O
the O
sunrise O
over O
the O
Rocky B-MOUNTAIN
Mountains I-MOUNTAIN
. O

The O
Himalayas B-MOUNTAIN
are O
home O
to O
many O
unique O
species O
. O

The O
view O
from O
the O
plateau O
was O
breathtaking O
. O

Karakoram B-MOUNTAIN
peaks O
are O
known O
for O
their O
steep O
slopes O
. O

I O
found O
a O
hidden O
trail O
in O
the O
Alps B-MOUNTAIN
last O
summer O
. O

We O
did O
not O
see O
any O
mountains O
on O
this O
trip O
. O

The O
Mount B-MOUNTAIN
Denali I-MOUNTAIN
basecamp O
was O
crowded O
with O
climbers O
preparing O
for O
their O
journey O
. O

The O
majestic O
Andes B-MOUNTAIN
stretch O
across O
South O
America O
. O

The O
Andes B-MOUNTAIN
stretch O
along O
the O
western O
coast O
of O
South O
America O
. O

We O
camped O
near O
the O
base O
of O
Mount B-MOUNTAIN
Kilimanjaro I-MOUNTAIN
and O
enjoyed O
the O
starry O
night O
. O

The O
Himalayas B-MOUNTAIN
are O
the O
world's O
highest O
mountain O
range O
. O

Mount B-MOUNTAIN
Aconcagua I-MOUNTAIN
is O
a O
challenging O
destination O
for O
climbers O
around O
the O
world O
. O

The O
valley O
offered O
a O
serene O
view O
with O
no O
mountains O
in O
sight O
. O

I O
hiked O
the O
Alps B-MOUNTAIN
with O
a O
guide O
who O
knew O
every O
trail O
. O

Mount B-MOUNTAIN
Fuji I-MOUNTAIN
is O
one O
of O
Japan's O
most O
iconic O
landmarks O
. O

The O
Rocky B-MOUNTAIN
Mountains I-MOUNTAIN
are O
famous O
for O
their O
breathtaking O
scenery O
. O

She O
traveled O
to O
the O
Pyrenees B-MOUNTAIN
last O
autumn O
to O
photograph O
the O
landscape O
. O

I O
admire O
the O
snow-capped O
peaks O
of O
Mount B-MOUNTAIN
Everest I-MOUNTAIN
every O
winter O
. O

The O
path O
we O
followed O
did O
not O
lead O
to O
any O
mountains O
. O

Karakoram B-MOUNTAIN
peaks O
are O
known O
for O
their O
treacherous O
trails O
and O
stunning O
beauty O
. O

We O
could O
barely O
see O
the O
ridge O
of O
Mount B-MOUNTAIN
Denali I-MOUNTAIN
through O
the O
fog O
. O

Mount B-MOUNTAIN
Elbrus I-MOUNTAIN
stands O
tall O
as O
Europe's O
highest O
mountain O
. O

There O
were O
no O
mountains O
visible O
from O
the O
small O
town O
we O
visited O
. O

The O
Sierra B-MOUNTAIN
Nevada I-MOUNTAIN
range O
is O
popular O
for O
its O
